nama,alamat,deskripsi
OYO 193 SM Residence,"Jalan Babakan Jeruk Indah 1 No 11, Sukajadi, 40163 Bandung, Indonesia","Hanya 10 menit berkendara dari Bandara Internasional Husein Sastranegara, SM Residence menawarkan akomodasi berharga terjangkau dengan Wi-Fi gratis. Kamar-kamar dengan kipas angin dan kamar mandi dalam tersedia di properti yang bebas rokok ini. SM Residence berjarak 10 menit berkendara dari Bandung Trade Center dan 15 menit berkendara dari Rumah Mode Factory Outlet. Pasar Baru terletak sejauh 20 menit berkendara. Masing-masing kamar yang terang benderang dilengkapi dengan meja dan lemari. Unit-unit tertentu dilengkapi dengan TV kabel layar datar, sementara semua kamar mandi pribadi menyediakan fasilitas shower. Antar-jemput bandara dan penyewaan mobil dapat diatur oleh staf di meja depan. SM Residence juga menawarkan layanan kamar dan binatu untuk kenyamanan Anda. Air mineral gratis tersedia di dapur bersama. Berbagai tempat bersantap dapat ditemukan dalam jarak 5 menit jalan kaki dari properti. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Capital O 874 Hotel Nyland Pasteur,"Jl. Dr. Djunjunan (Terusan Pasteur) No. 125, 40162 Bandung, Indonesia","Menampilkan sebuah kolam renang outdoor, Capital O 874 Hotel Nyland Pasteur berjarak 500 meter dari Pasteur Highway. Akomodasi ini modern dan menawarkan Wi-Fi gratis di semua areanya. Anda yang berkendara dapat menikmati hak istimewa parkir gratis. Kamar-kamar ber-AC di Capital O 874 Hotel Nyland Pasteur dilengkapi dengan baik dengan TV kabel, area tempat duduk, dan meja. Setiap kamar mandi dalamnya menyediakan fasilitas shower dan perlengkapan mandi gratis. Pusat perbelanjaan Paris Van Java dan Bandara Internasional Husein Sastranegara keduanya bisa dicapai dalam 20 menit berkendara dari akomodasi."
OYO 352 Hotel Sabang,"Jl. Sabang No.101, Cihapit, Bandung Wetan, Kota Bandung, Jawa Barat, Bandung Wetan, 40114 Bandung, Indonesia","OYO 352 Hotel Sabang menyediakan akomodasi bebas rokok dengan lounge bersama, AC, Wi-Fi gratis, dan kamar mandi pribadi di Bandung tepatnya 1,2 km dari Gedung Sate, 3,3 km dari Braga City Walk, 3,4 km dari Trans Studio Bandung, serta 500 meter dari Jalan Riau. Setiap kamarnya dilengkapi dengan lemari dan TV layar datar. Resepsionisnya yang fasih berbahasa Inggris dan Indonesia akan dengan senang hati memberikan saran mengenai daerah sekitar. OYO 352 Hotel Sabang berjarak 3,9 km dari Istana Merdeka, 4,1 km dari Terminal Bus Stasiun Hall, serta 8 km dari Bandara Husein Sastranegara. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Hilton Bandung,"Jalan HOS Tjokroaminoto No. 41-43 , Arjuna, Cicendo, 40172 Bandung, Indonesia","Hilton Bandung menawarkan tempat menginap yang menenangkan dengan akses Wi-Fi gratis di area umum, kolam renang atap gedung, dan 3 pilihan tempat bersantap di pusat Kota Bandung tepatnya 650 meter dari Stasiun Kereta Api Bandung, serta dekat 23 Paskal, Pasar Baru Bandung, dan Braga City Walk. Kamar-kamarnya yang luas, modern, dan bergaya memiliki AC, TV layar datar, dan minibar. Kamar mandi marmer pribadinya dilengkapi kaca tembus pandang, wastafel ganda, dan rainpancuran. Hilton Bandung berjarak sekitar 4 km dari Bandara Husein Sastranegara dan 3,5 jam berkendara dari Jakarta. Kolam renang atap gedungnya menyuguhkan pemandangan Gunung Tangkuban Perahu yang indah, dengan kursi berjemur di sekelilingnya. Hotel ini juga menyediakan gym, stasiun konektivitas, dan layanan pramutamu. Pizza yang baru dibuat dan makanan khas Barat disajikan di Fresco Restaurant, sementara Purnawarman Restaurant menawarkan hidangan Asia dan Indonesia. Minuman dan makanan ringan disajikan di Magma Lounge."
InterContinental Bandung Dago Pakar,"Jalan Resor Dago Pakar Raya 2B, Resor Dago Pakar Bandung, 40198 Bandung, Indonesia","Terletak di Bandung, InterContinental Bandung Dago Pakar menawarkan kolam renang tanpa batas yang menghadap pepohonan hijau subur dan area kebugaran. Hotel ini menyediakan meja depan 24 jam dan akses Wi-Fi gratis di seluruh areanya. Didekorasi dengan warna netral, kamar-kamarnya memiliki AC, TV satelit layar datar, area tempat duduk, dan fasilitas menyetrika. Semua kamar juga menyediakan minibar, kulkas, dan meja. Kamar mandi en suitenya menawarkan pengering rambut, bathtub atau shower, dan perlengkapan mandi gratis. InterContinental Bandung Dago Pakar memiliki fasilitas pertemuan/perjamuan dan pusat bisnis. Layanan pramutamu siap membantu Anda dengan fasilitas penitipan bagasi. Layanan penyewaan mobil dan antar-jemput bandara juga dapat diatur dengan biaya tambahan. Fasilitas lain yang ditawarkan adalah layanan binatu, dry cleaning, dan menyetrika dengan biaya tambahan. Hidangan lokal dan internasional dapat dinikmati di Damai Restaurant di hotel. InterContinental Bandung Dago Pakar dapat dicapai dalam 25 menit dengan berkendara dari Gedung Sate dan dalam 45 menit dari Trans Studio Bandung. Bandara Internasional Husein Sastranegara dapat dijangkau dalam 40 menit dengan berkendara."
Aryaduta Bandung,"Jalan Sumatera No. 51, Bandung Wetan, 40014 Bandung, Indonesia","Hotel Aryaduta Bandung menawarkan akomodasi bintang 5 di jantung kota Bandung, hanya 5 menit berkendara dari semua factory outlet utama dan daerah Braga Street yang kuno. Hotel ini memiliki jalan yang terhubung ke Bandung Indah Plaza Mall. Tersedia kolam renang outdoor, pusat kebugaran, dan layanan spa yang memanjakan. Wi-Fi dapat diakses gratis di seluruh areanya. Kamar-kamarnya dilengkapi dengan lantai berkarpet dan didekorasi dengan warna-warna netral. TV kabel/satelit layar datar, minibar, dan brankas pribadi juga disediakan. Kamar mandi dalamnya menyediakan shower air panas dan sandal. Hotel Aryaduta Bandung dapat dicapai dalam 10 menit berjalan kaki dari Stasiun KA St Hall dan 45 menit berkendara dari Kawah Tangkuban Perahu. Parkir gratis tersedia. Bandara Internasional Husein Sastranegara dapat dicapai dalam 20 menit berkendara. Resepsionis 24-jam dan layanan kamar 24-jam disediakan untuk menambah kenyamanan Anda. Taruma Kafe menyajikan sarapan prasmanan setiap hari, serta hidangan internasional dan kontinental. Hotel ini juga menawarkan hidangan Kanton di Cha Yuen Chinese Restaurant dan berbagai kue serta roti yang baru dipanggang di Cinnamon Pastry Boutique. Pilihan tempat bersantap lainnya dapat Anda temukan dalam 10 menit berkendara dari hotel. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Art Deco Luxury Hotel & Residence,"Jalan Rancabentang No.2, Ciumbuleuit, 40142 Bandung, Indonesia","Terletak di Bandung, Jawa Barat dan berjarak 1,8 km dari Villa Isola, Art Deco Luxury Hotel & Residence memiliki kolam renang outdoor dan hot tub. Anda dapat menikmati minuman di bar hotel. Semua kamar dilengkapi dengan TV dan kamar mandi pribadi. Jubah mandi, sandal, dan perlengkapan mandi gratis disediakan untuk kenyamanan Anda. Resepsionis beroperasi 24 jam. Cihampelas Walk berjarak 2,7 km dari Art Deco Luxury Hotel & Residence, sementara Dago Pakar terletak sejauh 2,9 km. Bandara terdekat adalah Bandara Husein Sastranegara, 5 km dari Art Deco Luxury Hotel & Residence."
Crowne Plaza Bandung,"Jl. Lembong No. 19, Sumurbandung, 40111 Bandung, Indonesia","Berlokasi strategis di jantung kota Bandung, Crowne Plaza Bandung menawarkan 4 pilihan tempat makan dan kolam renang luar ruangan. Tersedia akses Wi-Fi gratis di seluruh areanya. Kamar-kamarnya yang modern dan elegan memiliki AC, iPod dock, dan TV kabel layar datar. Tersedia juga sofa, brankas pribadi, dan minibar. Kamar mandi dalamnya dilengkapi dengan shower, bathtub, dan pengering rambut. Anda dapat menikmati pemandangan kota dan gunung. Mosaic All Day Dining Restaurant menyajikan berbagai hidangan khas Indonesia dan internasional yang lezat, sementara kopi dan makanan penutup dapat dicicipi di Connexions Lobby's Lounge. Berbagai tempat bersantap dapat ditemukan di Braga Citywalk, 5 menit berjalan kaki dari hotel. Hotel ini menawarkan pusat kebugaran, pusat bisnis, dan fasilitas rapat. Staf di meja depan 24 jam dapat membantu Anda dengan layanan parkir valet, penitipan bagasi, dan binatu. Fasilitas lain yang ditawarkan adalah klub anak-anak dan spa dengan perawatan yang menenangkan. Crowne Plaza Bandung dapat dicapai dalam 5 menit dengan berjalan kaki dari Braga dan dalam 10 menit dari Katedral Bandung. Stasiun Kereta Bandung dapat dicapai dalam 15 menit dengan berkendara, sedangkan Bandara Internasional Husein Sastranegara dalam 25 menit. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
Best Western Premier La Grande Bandung,"Jl. Merdeka No. 25 - 29, Sumurbandung, 40117 Bandung, Indonesia","Best Western Premier La Grande Bandung adalah sebuah hotel modern dengan kolam renang indoor dan spa, serta berjarak 900 meter dari Braga City Walk. Properti ini menyediakan pusat kebugaran dan akses Wi-Fi gratis. Didekorasi dengan warna netral, kamar-kamar ber-AC-nya dilengkapi dengan TV kabel layar datar, ketel listrik dan minibar. Setiap kamar juga kedap suara dan memiliki sofa untuk kenyamanan Anda. Setiap kamar mandi en suite dilengkapi dengan pengering rambut, sandal, dan jubah mandi. Anda dapat menikmati pemandangan kota dari kamar. Di Best Western Premier La Grande Bandung, Anda dapat mencicipi berbagai hidangan, baik di restoran atau tempat makan di dalam hotel. Layanan penyewaan mobil serta antar-jemput ke bandara dan area sekitarnya tersedia berdasarkan permintaan. Fasilitas lainnya seperti binatu dan dry cleaning ditawarkan untuk kenyamanan Anda. Gedung Sate berjarak 1,2 km dari Best Western Premier La Grande Bandung. Bandara terdekat adalah Bandara Husein Sastranegara, 4 km dari akomodasi. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
éL Hotel Royale Bandung,"Jalan Merdeka 2, Sumurbandung, 40111 Bandung, Indonesia","éL Hotel Royale Bandung berada dalam jarak berjalan kaki dari Jalan Braga yang bersejarah. Hotel ini menyediakan Wi-Fi gratis, restoran, dan ATM untuk kenyamanan Anda. Menikmati lokasi sentral di Bandung, éL Hotel Royale Bandung menawarkan akses mudah ke Museum Asia Afrika. Akomodasi bisa dijangkau dalam 5 menit berkendara dari kawasan bisnis kota Bandung, serta hanya 15 menit berkendara dari Bandara Internasional Husein Sastranegara. Kamar-kamar di éL Hotel Royale Bandung memiliki TV, brankas, dan fasilitas membuat teh/kopi. Kamar mandinya memiliki bak mandi dan shower. Studionya menawarkan dapur kecil, ruang makan, dan TV layar datar. Untuk perjalanan dan kebutuhan profesional Anda, hotel ini memiliki meja layanan wisata dan pusat bisnis. Layanan binatu dan dry cleaning tersedia. Restoran éL Hotel Royale Bandung menyajikan masakan Indonesia, Tiongkok, dan Barat. Layanan kamar juga tersedia. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
